class,precision,recall,f1-score,support
other_activities,0.9244186046511628,0.8784530386740331,0.9008498583569405,181.0
safe_driving,0.8935361216730038,0.9437751004016064,0.91796875,249.0
talking_phone,0.9911111111111112,0.9695652173913043,0.9802197802197802,230.0
texting_phone,0.9629629629629629,0.9915254237288136,0.9770354906054279,236.0
turning,0.973404255319149,0.9384615384615385,0.9556135770234987,195.0
macro avg,0.9490866111434778,0.9443560637314592,0.9463374912411295,1091.0
weighted avg,0.9485232872048462,0.9477543538038496,0.9477576680711448,1091.0
